"Settlement","Company","brand_in_sett","id","Address","gasoline_avg","diesel_avg","n_days","brand_cat","total_sett","n_competitors_other_brand","on_highway","lat","lon","dist_border_km","near_border_10km","near_border_20km","n_sett_stations","hhi_brand","share_small","share_premium","share_discount","area_ha","population","pop_density","brand_cat_discount","brand_cat_premium","log_n_sett","log_n_competitors_other_brand"
"Abda","Mol",1,"Abda | Mol | Abda, Bécsi u. 1.","Abda, Bécsi u. 1.",583.666666666667,590.142857142857,7,"premium",2,1,0,47.6976818,17.5409829,14.3319514967097,0,1,2,0.5,0,1,0,1902,3155,165.878023133544,0,1,0.693147180559945,9.99995000039884e-06
"Szigetvár","Mol",1,"Szigetvár | Mol | Szigetvár, József Attila u. 66.  ","Szigetvár, József Attila u. 66.  ",583.428571428571,590.142857142857,7,"premium",2,1,0,46.0474395,17.7993511,21.017986076132,0,0,2,0.5,0,1,0,3952,9383,237.424089068826,0,1,0.693147180559945,9.99995000039884e-06
"Szigetvár","Shell",1,"Szigetvár | Shell | Szigetvár, József Attila u.","Szigetvár, József Attila u.",588.042857142857,595.471428571429,7,"premium",2,1,0,46.0474395,17.7993511,21.017986076132,0,0,2,0.5,0,1,0,3952,9383,237.424089068826,0,1,0.693147180559945,9.99995000039884e-06
"Szikszó","Orlen",1,"Szikszó | Orlen | Szikszó, Malom utca belterület 1279/2 hrsz.","Szikszó, Malom utca belterület 1279/2 hrsz.",584.142857142857,592.571428571429,7,"premium",1,0,0,48.2015243,20.9275021,35.3238064577008,0,0,1,1,0,1,0,3623,5415,149.461772012145,0,1,0,-11.5129254649702
"Szilvásvárad","Mol",1,"Szilvásvárad | Mol | Szilvásvárad, Egri út 34.","Szilvásvárad, Egri út 34.",583.428571428571,590.333333333333,7,"premium",1,0,0,48.1033386,20.3871297,23.2765649271093,0,0,1,1,0,1,0,3782,1379,36.4621893178213,0,1,0,-11.5129254649702
"Szirmabesenyő","Omv",1,"Szirmabesenyő | Omv | Szirmabesenyő, 0119/19 hrsz.","Szirmabesenyő, 0119/19 hrsz.",610.9,612.9,1,"premium",1,0,0,48.1540642,20.7959687,42.8969274197353,0,0,1,1,0,1,0,1575,4331,274.984126984127,0,1,0,-11.5129254649702
"Szolnok","Auchan",1,"Szolnok | Auchan | Szolnok, Felső Szandai rét 1.","Szolnok, Felső Szandai rét 1.",568.714285714286,571,7,"discount",15,14,0,47.1753833,20.1946279,106.293482480117,0,0,15,0.173333333333333,0.133333333333333,0.733333333333333,0.133333333333333,18724,65564,350.160222174749,1,0,2.70805020110221,2.63905804390072
"Szolnok","Mol",4,"Szolnok | Mol | Szolnok, Abonyi út","Szolnok, Abonyi út",583.428571428571,590.142857142857,7,"premium",15,11,0,47.1753833,20.1946279,106.293482480117,0,0,15,0.173333333333333,0.133333333333333,0.733333333333333,0.133333333333333,18724,65564,350.160222174749,0,1,2.70805020110221,2.39789618188887
"Szolnok","Mol",4,"Szolnok | Mol | Szolnok, Elkerülő út","Szolnok, Elkerülő út",583.428571428571,590.142857142857,7,"premium",15,11,0,47.1753833,20.1946279,106.293482480117,0,0,15,0.173333333333333,0.133333333333333,0.733333333333333,0.133333333333333,18724,65564,350.160222174749,0,1,2.70805020110221,2.39789618188887
"Szolnok","Mol",4,"Szolnok | Mol | Szolnok, Gábor Áron tér","Szolnok, Gábor Áron tér",585.428571428571,590.142857142857,7,"premium",15,11,0,47.1753833,20.1946279,106.293482480117,0,0,15,0.173333333333333,0.133333333333333,0.733333333333333,0.133333333333333,18724,65564,350.160222174749,0,1,2.70805020110221,2.39789618188887
"Szolnok","Mol",4,"Szolnok | Mol | Szolnok, Pozsonyi út 80.","Szolnok, Pozsonyi út 80.",583.428571428571,590.142857142857,7,"premium",15,11,0,47.1753833,20.1946279,106.293482480117,0,0,15,0.173333333333333,0.133333333333333,0.733333333333333,0.133333333333333,18724,65564,350.160222174749,0,1,2.70805020110221,2.39789618188887
"Szolnok","Mol Partner+",1,"Szolnok | Mol Partner+ | Szolnok, Simon Ferenc utca 46.","Szolnok, Simon Ferenc utca 46.",573.428571428571,590.142857142857,7,"discount",15,14,0,47.1753833,20.1946279,106.293482480117,0,0,15,0.173333333333333,0.133333333333333,0.733333333333333,0.133333333333333,18724,65564,350.160222174749,1,0,2.70805020110221,2.63905804390072
"Szolnok","Omv",3,"Szolnok | Omv | Szolnok, Szandaszőlős, Kölcsey u. 2.","Szolnok, Szandaszőlős, Kölcsey u. 2.",579.328571428571,594.042857142857,7,"premium",15,12,0,47.1753833,20.1946279,106.293482480117,0,0,15,0.173333333333333,0.133333333333333,0.733333333333333,0.133333333333333,18724,65564,350.160222174749,0,1,2.70805020110221,2.48490748312099
"Szolnok","Omv",3,"Szolnok | Omv | Szolnok, Thököly u. (Dráva u. 42.)","Szolnok, Thököly u. (Dráva u. 42.)",581.9,591.042857142857,7,"premium",15,12,0,47.1753833,20.1946279,106.293482480117,0,0,15,0.173333333333333,0.133333333333333,0.733333333333333,0.133333333333333,18724,65564,350.160222174749,0,1,2.70805020110221,2.48490748312099
